fnode	tnode	iftran	hydseq
25608	25593	1	10808
25593	25240	1	10809
25117	24972	1	10810
25289	24972	1	10811
24972	25240	1	10812
25240	24860	1	10813
25235	24881	1	10814
25148	24836	1	10815
24618	24836	1	10816
24836	24881	1	10817
24881	24826	1	10818
24561	24379	1	10819
24914	24510	1	10820
24951	24522	1	10821
24725	24522	1	10822
24522	24510	1	10823
24510	24379	1	10824
24379	24566	1	10825
23556	24566	1	10826
24566	24826	1	10827
24826	24860	1	10828
24860	24909	1	10829
25495	25296	1	10830
25951	25494	1	10831
25844	25357	1	10832
25402	24909	1	10833
24909	24946	1	10834
24110	24946	1	10835
24946	25271	1	10836
23873	24557	1	10837
23403	24208	1	10838
23773	24208	1	10839
24208	24513	1	10840
24534	24513	1	10841
24513	24557	1	10842
24557	25271	1	10843
25271	25227	1	10844
24720	24957	1	10845
24238	24601	1	10846
24080	24419	1	10847
24037	24419	1	10848
24419	24601	1	10849
24601	24926	1	10850
24839	25055	1	10851
24865	25429	1	10852
24855	25247	1	10853
24468	24598	1	10854
24199	24598	1	10855
24598	25204	1	10856
25122	25130	1	10857
26392	26081	1	10858
26582	26195	1	10859
26365	26069	1	10860
26282	25934	1	10861
26233	25934	1	10862
25934	26069	1	10863
26069	26123	1	10864
26123	26119	1	10865
25678	25757	1	10866
25500	25757	1	10867
25757	25755	1	10868
25393	25755	1	10869
25755	25807	1	10870
22590	23609	1	10871
22973	23609	1	10872
23609	24007	1	10873
24007	24169	1	10874
24169	24170	1	10875
23160	23478	1	10876
22932	22749	1	10877
22744	22749	1	10878
22749	22553	1	10879
22257	22553	1	10880
22553	22493	1	10881
22591	21683	1	10882
22464	21833	1	10883
21806	21833	1	10884
21833	21802	1	10885
21201	21802	1	10886
21802	21683	1	10887
21683	21758	1	10888
21385	21419	1	10889
21105	21419	1	10890
21419	21593	1	10891
23052	23524	1	10892
22260	23524	1	10893
23524	23512	1	10894
23512	23510	1	10895
21050	20988	1	10896
20604	20337	1	10897
19359	19622	1	10898
18104	18480	1	10899
18480	18349	1	10900
18349	18340	1	10901
18223	18340	1	10902
18340	18385	1	10903
18385	18603	1	10904
18603	18779	1	10905
18715	18779	1	10906
18779	19138	1	10907
19042	19138	1	10908
19138	19622	1	10909
19622	20126	1	10910
19765	20021	1	10911
20056	20627	1	10912
20641	20924	1	10913
21020	21618	1	10914
23668	24227	1	10915
18933	18348	1	10916
17878	17593	1	10917
17016	17256	1	10918
15796	17256	1	10919
17256	17590	1	10920
16616	17590	1	10921
17590	17593	1	10922
17593	18348	1	10923
18348	18833	1	10924
18833	19236	1	10925
19236	19709	1	10926
19709	19899	1	10927
18517	19844	1	10928
18038	18153	1	10929
18027	18153	1	10930
18153	18200	1	10931
17561	17750	1	10932
17750	17642	1	10933
17642	17530	1	10934
16571	16561	1	10935
16587	16281	1	10936
17274	16713	1	10937
16713	15859	1	10938
15859	15832	1	10939
17678	17339	1	10940
16667	17339	1	10941
17339	17014	1	10942
16340	16440	1	10943
15604	15783	1	10944
15783	15873	1	10945
15873	15929	1	10946
15929	16407	1	10947
16407	16440	1	10948
16440	16560	1	10949
16560	16286	1	10950
16286	16213	1	10951
15202	14859	1	10952
15009	14859	1	10953
14859	14778	1	10954
14778	14450	1	10955
14450	14358	1	10956
14358	14250	1	10957
14171	13646	1	10958
12099	11877	1	10959
10907	11230	1	10960
10540	10473	1	10961
10473	10424	1	10962
10424	10398	1	10963
9585	10343	1	10964
9480	10343	1	10965
10343	10398	1	10966
10398	10683	1	10967
9743	10478	1	10968
9873	10478	1	10969
10478	10683	1	10970
10683	11230	1	10971
11230	11420	1	10972
10081	10831	1	10973
9947	10831	1	10974
10831	11211	1	10975
10264	10771	1	10976
10636	10771	1	10977
10771	11211	1	10978
11211	11420	1	10979
11420	11617	1	10980
11617	11650	1	10981
11111	11534	1	10982
11540	11597	1	10983
9720	9883	1	10984
10256	9883	1	10985
9883	9757	1	10986
9757	9721	1	10987
10412	10625	1	10988
9651	9923	1	10989
9866	9923	1	10990
9923	9939	1	10991
10182	9939	1	10992
9939	10592	1	10993
10277	10686	1	10994
13739	12604	1	10995
13171	12721	1	10996
13346	12787	1	10997
13000	12944	1	10998
13670	13631	1	10999
14581	14710	1	11000
15290	15236	1	11001
15619	15236	1	11002
15236	15150	1	11003
12615	12878	1	11004
12623	12878	1	11005
12878	13048	1	11006
13048	13128	1	11007
14633	13928	1	11008
14946	13928	1	11009
13928	13365	1	11010
13825	13365	1	11011
13365	13326	1	11012
14766	14167	1	11013
14712	14167	1	11014
14167	13700	1	11015
14452	13700	1	11016
13700	12823	1	11017
12823	12765	1	11018
14157	13938	1	11019
14667	15046	1	11020
15547	15046	1	11021
15046	14295	1	11022
16008	14986	1	11023
14986	14528	1	11024
14528	14295	1	11025
14295	13938	1	11026
13938	13964	1	11027
13964	13991	1	11028
14956	15248	1	11029
15977	15248	1	11030
15248	14640	1	11031
15541	15537	1	11032
15537	15161	1	11033
15161	14640	1	11034
14640	14082	1	11035
14082	13991	1	11036
13991	14033	1	11037
14033	14137	1	11038
14137	14097	1	11039
14097	14132	1	11040
15895	16415	1	11041
16377	16415	1	11042
16415	16508	1	11043
16807	16508	1	11044
16508	16829	1	11045
16829	17018	1	11046
17018	17120	1	11047
16047	16455	1	11048
15472	16455	1	11049
16455	16501	1	11050
15432	16501	1	11051
16501	16678	1	11052
16066	16912	1	11053
15736	16912	1	11054
16912	16820	1	11055
18227	16820	1	11056
16820	16678	1	11057
16678	16546	1	11058
16546	16541	1	11059
16541	17259	1	11060
17259	17241	1	11061
17241	17310	1	11062
17310	17192	1	11063
17192	17108	1	11064
17108	17190	1	11065
17190	17199	1	11066
17199	17120	1	11067
17120	17236	1	11068
17852	18041	1	11069
17985	18716	1	11070
17573	18716	1	11071
18716	18909	1	11072
18909	18885	1	11073
17745	18690	1	11074
18864	18690	1	11075
18690	19432	1	11076
19017	19432	1	11077
19432	19466	1	11078
18415	18650	1	11079
18650	19486	1	11080
19486	19754	1	11081
20445	21608	1	11082
21301	21608	1	11083
21608	21489	1	11084
20520	20179	1	11085
19857	19887	1	11086
21905	21041	1	11087
20536	19113	1	11088
19526	18807	1	11089
19698	18752	1	11090
20354	18754	1	11091
19990	19769	1	11092
21118	20912	1	11093
21259	21903	1	11094
19482	20024	1	11095
20146	20266	1	11096
20266	20216	1	11097
20216	20806	1	11098
20329	20812	1	11099
21330	20812	1	11100
20812	20806	1	11101
20806	20966	1	11102
20966	21087	1	11103
21561	21867	1	11104
22196	21867	1	11105
21867	21769	1	11106
21420	22438	1	11107
21678	22348	1	11108
21195	21882	1	11109
22052	21882	1	11110
21882	22348	1	11111
22348	22438	1	11112
22438	22250	1	11113
22672	22250	1	11114
22250	22035	1	11115
22677	23372	1	11116
23372	22035	1	11117
22035	21981	1	11118
22723	22433	1	11119
22821	22476	1	11120
22966	22476	1	11121
22476	22433	1	11122
22433	23033	1	11123
23431	23235	1	11124
23728	23236	1	11125
24008	23236	1	11126
23236	23235	1	11127
23235	23211	1	11128
23870	23211	1	11129
23211	23134	1	11130
25871	25276	1	11131
25684	25276	1	11132
25276	24940	1	11133
25504	25064	1	11134
25092	25064	1	11135
25064	24940	1	11136
24940	24514	1	11137
24782	24514	1	11138
24514	23134	1	11139
23134	23058	1	11140
24236	23495	1	11141
24403	23495	1	11142
23495	23138	1	11143
24802	24187	1	11144
24649	24187	1	11145
24187	24120	1	11146
24683	24040	1	11147
23889	24040	1	11148
24040	23984	1	11149
23342	22852	1	11150
22842	22664	1	11151
22436	21926	1	11152
22395	21729	1	11153
22331	21729	1	11154
21729	21762	1	11155
23135	21421	1	11156
22114	21421	1	11157
21421	21316	1	11158
20485	21316	1	11159
21316	21762	1	11160
21762	21926	1	11161
21926	22664	1	11162
22664	22852	1	11163
22852	22802	1	11164
20849	21821	1	11165
22786	22368	1	11166
23128	22368	1	11167
22368	22133	1	11168
22777	22133	1	11169
22133	21821	1	11170
21821	23332	1	11171
23648	23332	1	11172
23332	23531	1	11173
23531	24193	1	11174
23514	24193	1	11175
24193	24569	1	11176
23733	24569	1	11177
24569	24830	1	11178
24830	24924	1	11179
24924	25314	1	11180
24047	24859	1	11181
24333	24859	1	11182
24859	25167	1	11183
24528	25007	1	11184
24753	25007	1	11185
25007	25321	1	11186
25649	25321	1	11187
25321	25167	1	11188
25167	25176	1	11189
25176	25209	1	11190
25209	25267	1	11191
25267	25314	1	11192
25314	25996	1	11193
25996	25998	1	11194
25998	26004	1	11195
26004	26080	1	11196
26080	26292	1	11197
25524	26204	1	11198
26191	26204	1	11199
26204	26292	1	11200
26292	26347	1	11201
26347	26381	1	11202
26381	26796	1	11203
26796	27076	1	11204
26588	26654	1	11205
26851	26654	1	11206
26654	26454	1	11207
26821	27040	1	11208
27013	27040	1	11209
27040	27271	1	11210
27012	27404	1	11211
28445	28150	1	11212
27027	27471	1	11213
27126	27457	1	11214
27263	27502	1	11215
27370	27502	1	11216
27502	27457	1	11217
27457	27482	1	11218
27864	27606	1	11219
27667	27259	1	11220
27293	27259	1	11221
27259	27771	1	11222
27696	27858	1	11223
27810	27858	1	11224
27858	27771	1	11225
27771	28111	1	11226
28080	28184	1	11227
28781	28184	1	11228
28184	28111	1	11229
28111	27606	1	11230
27606	27482	1	11231
27482	27471	1	11232
27471	27490	1	11233
27490	27583	1	11234
28376	28978	1	11235
28252	28837	1	11236
28511	28837	1	11237
28837	28978	1	11238
28978	29590	1	11239
29029	29590	1	11240
29590	30338	1	11241
29457	29792	1	11242
29465	29792	1	11243
29792	30338	1	11244
30338	30645	1	11245
31519	31330	1	11246
31896	31859	1	11247
31966	31859	1	11248
31859	31330	1	11249
31330	30645	1	11250
30645	30132	1	11251
29907	30050	1	11252
30147	30132	1	11253
30132	30050	1	11254
30050	29896	1	11255
28966	29547	1	11256
28241	29020	1	11257
28674	29020	1	11258
29020	29484	1	11259
29030	29484	1	11260
29484	29547	1	11261
29547	29742	1	11262
29318	29742	1	11263
29742	29766	1	11264
29616	29766	1	11265
29766	29896	1	11266
29896	29880	1	11267
31094	30188	1	11268
30760	30324	1	11269
30841	30476	1	11270
30911	30476	1	11271
30476	30435	1	11272
31196	30449	1	11273
30909	30449	1	11274
30449	30435	1	11275
30435	30339	1	11276
31322	30550	1	11277
30818	31244	1	11278
31244	30622	1	11279
30876	30622	1	11280
30622	30550	1	11281
30550	30463	1	11282
30260	29977	1	11283
30734	30422	1	11284
31151	30229	1	11285
30229	30422	1	11286
30422	30463	1	11287
30463	30339	1	11288
30339	30324	1	11289
30324	30188	1	11290
30188	29977	1	11291
29977	29880	1	11292
29880	29420	1	11293
28723	28909	1	11294
28874	28909	1	11295
28909	28498	1	11296
28849	29377	1	11297
29967	29658	1	11298
29876	29658	1	11299
29658	29420	1	11300
29420	29377	1	11301
29377	29342	1	11302
29945	29560	1	11303
29863	29811	1	11304
29932	29811	1	11305
29811	29560	1	11306
29560	29342	1	11307
29342	29043	1	11308
29043	28498	1	11309
28498	28272	1	11310
29320	28459	1	11311
30251	29216	1	11312
30075	29369	1	11313
29975	29369	1	11314
29369	29216	1	11315
29216	28594	1	11316
29555	28857	1	11317
29998	29455	1	11318
31116	30281	1	11319
30406	30708	1	11320
30254	30708	1	11321
30708	30281	1	11322
30281	30186	1	11323
30167	30186	1	11324
30186	29938	1	11325
30179	29938	1	11326
29938	29455	1	11327
29455	29352	1	11328
29352	28917	1	11329
29651	28895	1	11330
30070	29197	1	11331
29661	29197	1	11332
29197	28795	1	11333
29963	28600	1	11334
29584	28619	1	11335
29567	28619	1	11336
28619	28365	1	11337
29392	28438	1	11338
28616	28438	1	11339
28438	28096	1	11340
29245	29152	1	11341
29321	28896	1	11342
