ITER	INC_DELIVF	TOT_DELIVF	BOOT_ERROR	C_SUM90POP	C_WFCORNSOYA_P	C_WFOTHER_P	C_CONFINED	C_UNCONFINED	C_FOREST	C_BSHRUB
0	1.0000000000000E+00	1.0000000000000E+00	1.0000000000000E+00	1.6509556338936E-01	1.7991187731596E-02	1.9460282019543E-02	2.3177252772385E-01	3.5562979721027E-02	1.4047286295177E+01	2.5136370983032E+02
0	1.0000000000000E+00	1.0000000000000E+00	1.0000000000000E+00	1.6509556338936E-01	3.3449822245767E-02	3.6181211830890E-02	4.3091929057021E-01	6.6119889800773E-02	2.6117187848798E+01	4.6734387625196E+02
0	1.0000000000000E+00	1.0000000000000E+00	1.0000000000000E+00	1.6509556338936E-01	5.0500221558601E-02	5.4623884105987E-02	6.5057205649052E-01	9.9823223568606E-02	3.9429918735033E+01	7.0556336955621E+02
0	9.1410298938202E-01	8.3558427519715E-01	1.0000000000000E+00	1.6509556338936E-01	2.9663212096650E-02	3.2085401009548E-02	3.8213806395757E-01	5.8634939837854E-02	2.3160651701968E+01	4.1443928824126E+02
0	9.2410078685778E-01	8.5396226427116E-01	1.0000000000000E+00	1.6509556338936E-01	2.2387375918012E-02	2.4215446781033E-02	2.8840667903816E-01	4.4252875777681E-02	1.7479773076114E+01	3.1278501164405E+02
0	9.2055916224989E-01	8.4742917120221E-01	1.0000000000000E+00	1.6509556338936E-01	2.1381440022514E-02	2.3127369856262E-02	2.7544765105702E-01	4.2264453535307E-02	1.6694351361358E+01	2.9873058776075E+02
0	9.2117838573498E-01	8.4856961834530E-01	1.0000000000000E+00	1.6509556338936E-01	2.0299978802596E-02	2.1957600486569E-02	2.6151566366879E-01	4.0126741228214E-02	1.5849960451766E+01	2.8362096251911E+02
0	9.4798121105029E-01	8.9866837650438E-01	1.0000000000000E+00	1.6509556338936E-01	2.4065295008800E-02	2.6030378579858E-02	3.1002256981702E-01	4.7569599692158E-02	1.8789870563845E+01	3.3622804240710E+02
0	9.6100511210188E-01	9.2353082548594E-01	1.0000000000000E+00	1.6509556338936E-01	3.8485883044913E-02	4.1628498851682E-02	4.9579663822522E-01	7.6074614899849E-02	3.0049278875856E+01	5.3770515224384E+02
0	9.2062231059655E-01	8.4754543876813E-01	1.0000000000000E+00	1.6509556338936E-01	2.2728383659804E-02	2.4584299962108E-02	2.9279973120723E-01	4.4926941969807E-02	1.7746027502964E+01	3.1754939809459E+02
