C_ATDEP_MEAN_RES	C_MANFERT_N	C_AVGKGN_929702SS	C_NLCD_DEVLP
0.18522721412514	0.044673245010595	1.0738543162841	300.73619844654
0.26557026018602	0.06405044397419	1.0738543162841	431.18172913211
0.49075951869041	0.11836176624093	1.0738543162841	796.80058192042
0.12515968219185	0.030186110472015	1.0738543162841	203.21013409901
0.14693211780681	0.03543720359728	1.0738543162841	238.56001261816
0.50562839002911	0.12194785231085	1.0738543162841	820.94178526741
1.4161546984461	0.34154930265186	1.0738543162841	2299.2786585623
0.14356288490666	0.034624609359672	1.0738543162841	233.08970255138
0.15959336045981	0.03849085204655	1.0738543162841	259.11689461337
1.2548083931243	0.30263567398646	1.0738543162841	2037.3156704288
1.1375038156882	0.27434406385012	1.0738543162841	1846.8591392699
0.18415722272822	0.044415183644939	1.0738543162841	298.99895294187
0.34521473528566	0.083259161044582	1.0738543162841	560.49305512634
0.22299535918773	0.0537821959061	1.0738543162841	362.05682253598
1.0473421725177	0.25259880792249	1.0738543162841	1700.4720657458
0.7369419650674	0.17773624205028	1.0738543162841	1196.5041211512
0.24762917328249	0.059723398540918	1.0738543162841	402.05245513827
0.19298224870966	0.046543610343769	1.0738543162841	313.32732675772
0.13198234873558	0.031831606548674	1.0738543162841	214.28746314766
0.33253864670496	0.080201932042804	1.0738543162841	539.91206917922
0.21981515789038	0.053015192458952	1.0738543162841	356.89342549966
0.1195028008833	0.028821779394174	1.0738543162841	194.02558209982
0.23337143061961	0.056284704965112	1.0738543162841	378.90348457736
0.27245110218443	0.06570997085271	1.0738543162841	442.35351225527
0.38759327041712	0.093480049438654	1.0738543162841	629.29914072971
0.075495034843413	0.018207951809742	1.0738543162841	122.57426581527
0.092537261925402	0.022318209525142	1.0738543162841	150.24414472538
0.13361491214054	0.032225349473167	1.0738543162841	216.93810449348
0.061475553042989	0.01482672217591	1.0738543162841	99.812137254609
1.1349114903316	0.27371884478417	1.0738543162841	1842.6502217165
